holidaycalendar,holiday,description,creationname,creationdate,revisionname,revisiondate
Austria,2016-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2017-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2018-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2019-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2020-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2020-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
